Disease_Code,Name,Symptoms,Treatments,Chronic,Contagious
D371,Vitamin B12 Deficiency," balance problems,  pale skin,  shortness of breath,  sore tongue,  tingling or numbness in the hands and feet,  weakness, Fatigue"," and dairy products),  dietary changes to include B12-rich foods (such as meat,  eggs,  fish,  identification and management of underlying causes (such as pernicious anemia or malabsorption disorders),  management of associated symptoms or complications (such as nerve pain or balance problems),  regular monitoring of B12 levels and treatment adjustment, Vitamin B12 supplementation (such as oral supplements or injections)",True,True
D372,Testicular Cancer," changes in testicular size or shape,  pain or discomfort, Lump or swelling in the testicles"," chemotherapy,  radiation therapy,  surveillance (for some cases), Surgery (orchiectomy)",True,False
D373,Peyronie Disease," pain during erections, Curvature of the penis"," surgery,  traction therapy, Medications",True,False
D374,Hepatitis due to a Toxin," abdominal pain,  jaundice,  nausea,  vomiting, Fatigue"," management of symptoms,  removal or avoidance of the toxic substance, Supportive care",False,True
D375,Foreign Body in the Throat," difficulty swallowing or speaking, Sensation of a foreign object stuck in the throat"," evaluation for any complications,  removal of the foreign body, Immediate medical attention",False,False
D376,Stenosis of the Tear Duct," eye discharge,  recurrent eye infections, Excessive tearing"," dilation,  surgical correction, Tear duct probing",False,False
D377,Lateral Epicondylitis (Tennis Elbow)," difficulty with forearm movements,  weak grip strength, Pain or tenderness on the outer side of the elbow"," compression,  corticosteroid injections (in severe cases),  elbow brace or strap,  ergonomic modifications,  ice or cold therapy,  pain relievers,  physical therapy exercises, Rest",True,False
D378,Attention Deficit Hyperactivity Disorder (ADHD)," hyperactivity,  impulsivity, Inattention"," accommodations and modifications in school,  counseling,  individualized education plans (IEPs) for academic support,  medication (such as stimulants or non-stimulants),  parent training programs,  psychoeducation, Behavioral therapy",True,False
D379,Tuberous Sclerosis," developmental delays,  seizures,  skin abnormalities, Benign tumors in various organs"," behavioral,  educational interventions,  etc.),  genetic counseling,  monitoring of organ involvement,  occupational,  speech),  support services,  surgery (for tumor removal),  therapy (physical, Medications (anti-seizure",True,False
D380,Pulmonic Valve Disease," chest pain or discomfort,  fainting or lightheadedness,  heart palpitations,  shortness of breath,  swollen legs or ankles, Fatigue"," beta-blockers,  heart-healthy diet,  lifestyle modifications (such as regular exercise,  or calcium channel blockers),  regular follow-up with a cardiologist,  smoking cessation),  surgical interventions (such as balloon valvuloplasty or valve replacement), Medications (such as diuretics",True,True
D381,Pelvic Organ Prolapse," bowel movement difficulties,  discomfort or pain during intercourse,  urinary incontinence, Pelvic pressure or heaviness"," hormone therapy,  pessary use,  surgical repair (in severe cases), Pelvic floor exercises",True,False
D382,"Sedative, Hypnotic, or Anxiolytic Use Disorder"," continued use despite negative consequences (such as relationship problems,  drowsiness,  health risks),  insomnia,  memory impairment,  poor coordination,  reduced anxiety,  relaxation,  tremors) when attempting to stop or reduce use,  withdrawal symptoms (such as rebound anxiety, Sedation"," addressing co-occurring mental health conditions,  addressing underlying psychological or social factors,  counseling or therapy (such as cognitive-behavioral therapy),  harm reduction strategies,  hypnotics,  lifestyle changes,  ongoing monitoring and support,  or anxiolytics under medical supervision,  support groups, Gradual tapering off sedatives",True,False
D383,Atrial Fibrillation," chest pain or discomfort,  dizziness or lightheadedness,  fatigue,  palpitations,  shortness of breath, Irregular or rapid heartbeat"," anticoagulants),  catheter ablation,  electrical cardioversion,  lifestyle changes, Medications (antiarrhythmics",True,True
D384,Asthma," chest tightness,  coughing,  especially at night or in response to triggers such as allergens or exercise,  shortness of breath, Recurrent episodes of wheezing"," avoidance of triggers (such as allergens,  development of an asthma action plan,  emergency medications (such as oral corticosteroids) as needed,  long-acting beta-agonists),  proper inhaler technique,  quick-relief medications (such as short-acting beta-agonists),  regular follow-up with a healthcare provider,  regular monitoring of symptoms and lung function,  smoke), Long-term control medications (such as inhaled corticosteroids",True,True
D385,Edward Syndrome," distinct facial features (small jaw,  heart defects,  intellectual disability,  low-set ears), Developmental delays"," addressing associated medical issues,  early intervention programs,  palliative care, Supportive care",False,False
D386,West Nile Virus," body aches,  headache,  rash, Fever"," prevention of mosquito bites,  symptom management, Supportive care",False,True
D387,Obesity," increased risk of chronic conditions, Excessive body weight"," Fluconazole,  supportive care, Antifungal medication eg  Amphotericin B",True,False
D388,Hypertension," blurred vision,  dizziness, headache"," diet change,  exercise, medication",True,False
D389,Sialolithiasis," difficulty eating,  pain,  tenderness, Swelling"," Saliva stimulation,  Sialagogues,  Stone removal , Warm compresses",False,False
D390,Hyperopia," blurred vision when focusing on near objects, Difficulty seeing objects up close"," contact lenses,  refractive surgery, Eyeglasses",False,False
D391,Liver Cancer," fatigue,  jaundice (yellowing of the skin and eyes),  loss of appetite,  nausea,  unexplained weight loss,  vomiting, Abdominal pain"," Chemotherapy,  Clinical trials,  Immunotherapy,  Palliative care,  Radiation therapy,  Radiofrequency ablation,  Selective internal radiation therapy (SIRT),  Targeted therapy,  Transarterial chemoembolization (TACE), Surgery",True,True
D392,Chalazion," blurred vision (if the chalazion affects the line of sight),  localized inflammation and swelling,  mild discomfort,  red lump or swelling on the eyelid,  sensitivity to light,  tenderness,  usually on the upper eyelid, Painful"," corticosteroid injections (for larger or persistent chalazia),  eyelid hygiene (keeping the area clean),  gentle massage of the affected area,  over-the-counter lubricating eye drops,  surgical drainage or excision (in rare cases or if conservative treatments are ineffective),  topical antibiotic ointments (if there is a risk of infection), Warm compresses (to help soften and promote drainage of the blocked oil gland)",False,False
D393,Hypocalcemia," muscle cramps, Numbness or tingling in fingers or around the mouth"," intravenous calcium (in severe cases),  treating underlying causes, Calcium and vitamin D supplements",False,False
D394,Viral Warts," may appear in clusters or as single lesions,  rough growths on the skin or mucous membranes,  typically painless, Small"," cryotherapy),  immune therapy (for persistent or recurrent cases),  laser therapy,  surgical removal, Topical treatments (salicylic acid",True,False
D395,Spondylitis," difficulty maintaining proper posture,  discomfort or pain in the neck,  especially in the morning or after periods of inactivity,  fatigue,  inflammation and pain in other joints (such as hips,  knees),  limited range of motion in the spine,  shoulders,  tenderness or swelling in affected areas,  tingling or numbness in extremities in severe cases, Chronic back pain and stiffness"," assistive devices (such as braces or supports),  corticosteroids,  disease-modifying antirheumatic drugs),  heat or cold therapy,  lifestyle modifications (such as regular exercise,  pain management techniques (such as acupuncture or transcutaneous electrical nerve stimulation),  physical therapy (including stretching and strengthening exercises),  posture correction techniques,  surgical intervention (in rare cases),  weight management), Medication (such as nonsteroidal anti-inflammatory drugs",True,True
